"","Variable.","location","year","gbd_location_id","iso_code","iso_num_code","region","dah_eligible","sdi","the_per_cap_mean","ghes_per_the_mean","dah_per_cap_ppp_mean","haqi","cpi","perc_skill_attend","imm_pop_perc","perc_urban","result"
"1","Label:","Country name","Year","Country's IHME Location ID","ISO 3-digit code for country","ISO 3-digit numeric code for country","Country's Global Burden of Disease region","Country was eligible for development assistance","Socio-demographic Index","Total Health Spending per person","Government Health Spending per person","Development Assistance for Health per person","Healthcare Access and Quality Index","Corruption Perception Index","Births attended by skilled health personnel (%)","International migrants as a percentage of the total population","Percentage of population residing in urban areas","Vaccine Improvement Index"
"2","Value Coding:","Armenia","1990","33","ARM","51","Central Asia","TRUE","","","","","","","","","",""
"3","","Azerbaijan","1991","34","AZE","31","Central Europe","FALSE","","","","","","","","","",""
"4","","Georgia","1992","35","GEO","268","Eastern Europe","","","","","","","","","","",""
"5","","Kazakhstan","1993","36","KAZ","398","Australasia","","","","","","","","","","",""
"6","","Kyrgyzstan","1994","37","KGZ","417","High-income Asia Pacific","","","","","","","","","","",""
"7","","Mongolia","1995","38","MNG","496","High-income North America","","","","","","","","","","",""
"8","","Tajikistan","1996","39","TJK","762","Southern Latin America","","","","","","","","","","",""
"9","","Turkmenistan","1997","40","TKM","795","Western Europe","","","","","","","","","","",""
"10","","Uzbekistan","1998","41","UZB","860","Andean Latin America","","","","","","","","","","",""
"11","","Albania","1999","43","ALB","8","Caribbean","","","","","","","","","","",""
"12","","Bosnia and Herzegovina","2000","44","BIH","70","Central Latin America","","","","","","","","","","",""
"13","","Bulgaria","2001","45","BGR","100","Tropical Latin America","","","","","","","","","","",""
"14","","Croatia","2002","46","HRV","191","North Africa and Middle East","","","","","","","","","","",""
"15","","Czechia","2003","47","CZE","203","South Asia","","","","","","","","","","",""
"16","","Hungary","2004","48","HUN","348","East Asia","","","","","","","","","","",""
"17","","Montenegro","2005","50","MNE","499","Oceania","","","","","","","","","","",""
"18","","North Macedonia","2006","49","MKD","807","Southeast Asia","","","","","","","","","","",""
